iter	Passed	Remaining
0	2	2069
1	3	1992
2	5	1980
3	8	1999
4	9	1979
5	11	1950
6	13	1935
7	15	1922
8	17	1919
9	19	1948
10	21	1953
11	23	1953
12	25	1934
13	27	1933
14	29	1963
15	31	1954
16	33	1938
17	35	1934
18	37	1933
19	39	1927
20	41	1923
21	43	1918
22	45	1916
23	47	1931
24	49	1925
25	51	1924
26	53	1923
27	55	1923
28	56	1908
29	58	1904
30	61	1907
31	63	1905
32	65	1916
33	67	1914
34	69	1913
35	71	1909
36	73	1907
37	75	1914
38	83	2062
39	85	2049
40	87	2046
41	90	2060
42	92	2055
43	94	2048
44	96	2043
45	98	2041
46	101	2051
47	103	2047
48	105	2040
49	107	2033
50	109	2031
51	111	2028
52	113	2030
53	115	2030
54	117	2021
55	119	2015
56	121	2014
57	124	2017
58	125	1999
59	127	1995
60	129	1993
61	131	1987
62	133	1988
63	136	1991
64	138	1989
65	140	1984
66	142	1977
67	144	1976
68	146	1973
69	148	1973
70	150	1966
71	152	1961
72	154	1955
73	156	1952
74	157	1948
75	160	1945
76	161	1941
77	163	1936
78	165	1931
79	167	1926
80	169	1923
81	171	1919
82	173	1917
83	175	1912
84	177	1908
85	179	1907
86	181	1905
87	183	1901
88	185	1897
89	187	1892
90	189	1888
91	190	1884
92	193	1882
93	194	1878
94	196	1874
95	198	1870
96	200	1866
97	201	1854
98	203	1850
99	205	1847
100	207	1844
101	208	1836
102	210	1832
103	212	1830
104	214	1826
105	216	1824
106	218	1822
107	220	1818
108	222	1815
109	223	1811
110	225	1808
111	227	1805
112	229	1801
113	231	1798
114	233	1796
115	235	1792
116	237	1788
117	238	1785
118	240	1783
119	242	1779
120	244	1777
121	246	1774
122	248	1772
123	250	1768
124	252	1766
125	254	1763
126	256	1760
127	257	1757
128	259	1754
129	261	1749
130	263	1746
131	265	1744
132	267	1743
133	269	1740
134	271	1736
135	272	1733
136	275	1732
137	276	1729
138	278	1723
139	280	1720
140	281	1717
141	283	1714
142	285	1712
143	287	1709
144	289	1707
145	291	1704
146	293	1702
147	295	1699
148	297	1696
149	298	1693
150	300	1691
151	302	1689
152	304	1686
153	306	1685
154	308	1684
155	309	1676
156	311	1674
157	313	1672
158	315	1669
159	317	1667
160	319	1665
161	321	1663
162	323	1661
163	325	1659
164	327	1656
165	329	1654
166	331	1651
167	333	1649
168	334	1644
169	336	1642
170	338	1640
171	340	1638
172	341	1634
173	344	1634
174	346	1631
175	347	1627
176	349	1623
177	350	1619
178	352	1615
179	353	1610
180	355	1607
181	356	1603
182	358	1599
183	359	1595
184	361	1591
185	362	1588
186	364	1584
187	366	1581
188	367	1577
189	369	1574
190	370	1570
191	372	1567
192	374	1566
193	376	1563
194	378	1561
195	379	1558
196	381	1555
197	383	1554
198	385	1552
199	387	1549
200	388	1544
201	390	1540
202	391	1538
203	393	1534
204	394	1531
205	396	1528
206	397	1524
207	399	1521
208	401	1518
209	402	1514
210	403	1509
211	405	1505
212	406	1502
213	408	1499
214	409	1495
215	411	1492
216	412	1489
217	414	1486
218	415	1482
219	417	1479
220	418	1475
221	420	1472
222	421	1469
223	423	1465
224	424	1462
225	426	1459
226	427	1456
227	429	1453
228	430	1450
229	432	1447
230	433	1444
231	435	1441
232	436	1438
233	438	1436
234	441	1436
235	443	1437
236	446	1435
237	448	1435
238	450	1434
239	452	1432
240	454	1431
241	456	1430
242	458	1428
243	465	1441
244	467	1439
245	469	1438
246	471	1436
247	473	1436
248	475	1434
249	477	1432
250	479	1431
251	481	1429
252	484	1429
253	486	1428
254	488	1427
255	490	1425
256	492	1424
257	497	1430
258	499	1429
259	501	1427
260	503	1425
261	505	1424
262	507	1422
263	509	1421
264	511	1419
265	513	1418
266	516	1416
267	518	1415
268	520	1414
269	522	1412
270	524	1411
271	533	1428
272	535	1426
273	537	1424
274	539	1422
275	541	1420
276	543	1418
277	545	1415
278	547	1413
279	549	1411
280	551	1410
281	553	1409
282	555	1408
283	558	1407
284	560	1406
285	562	1404
286	564	1402
287	566	1400
288	568	1398
289	570	1397
290	572	1395
291	574	1393
